Close_t-1,rolling_mean_3,rolling_min_3,rolling_std_3,Volume,Close_vs_SP500,Volume_x_Volatility,DayOfWeek,IsHoliday,Close
4214.879883,4205.529948,4183.02002,19.587030898397945,0.1703085881957296,13.152203765680497,-0.0009047528932409284,3,0,4218.689941
4218.689941,4210.3833006666655,4197.580078,11.250378592745362,0.1892566756542905,-12.79324872455254,-0.0007800743112558358,4,0,4197.580078
4197.580078,4214.009928333334,4197.580078,14.661193432478152,0.1740032816954683,11.767901456119034,-0.0006504584210896924,1,0,4225.759766
4225.759766,4222.113281333333,4197.580078,22.92847501339335,0.1730697750340723,20.881790503020966,-0.0008392100563195836,2,0,4243.0
4243.0,4229.213216333333,4218.879883,12.425367214982096,0.1947121829830388,-10.331075422122012,-0.0007682612950812595,3,0,4218.879883
4218.879883,4196.683268333333,4128.169922,60.54753488265994,0.2337162415081377,-68.50744943084464,-0.0002136182176697073,4,0,4128.169922
4128.169922,4143.553304,4083.610107,68.93449358696176,0.2217602762760164,-59.93311051022329,5.362850772533557e-05,0,0,4083.610107
4083.610107,4103.246663333333,4083.610107,22.7454653586014,0.1814962459790053,-5.275821258271208,-0.0007073024306713071,1,0,4097.959961
4097.959961,4077.6666666666665,4051.429932,23.827594547748248,0.1999395580658843,-26.243050118608153,-0.0005473352082415303,2,0,4051.429932
4051.429932,4090.839925333333,4051.429932,36.37639240319649,0.1916219088244568,32.30231324693568,-0.0006026218999026654,3,0,4123.129883
4123.129883,4092.813232666667,4051.429932,37.10894508808601,0.2089494706741897,11.058925404667661,-0.00039363587411899337,4,0,4103.879883
4103.879883,4074.6565756666664,3996.959961,67.97215292305404,0.2504406951215755,-77.67824348505656,0.0008630825296750296,0,0,3996.959961
3996.959961,4044.1199546666667,3996.959961,54.562223152326645,0.1922709057309049,-12.587165110361184,-0.0006290079700615809,1,0,4031.52002
4031.52002,4013.343343333334,3996.959961,17.349678612148093,0.1916153533001492,-1.7928013551259028,-0.00034111693356669246,2,0,4011.550049
4011.550049,4033.3967286666666,4011.550049,22.842926715843102,0.1620289609952859,23.719460145250196,-0.0005018582119540797,3,0,4057.120117
4057.120117,4064.843343,4011.550049,57.544935129545685,0.176864112503286,61.01617039604889,-0.00034367955698773274,4,0,4125.859863
4125.859863,4110.383300666667,4057.120117,47.45692503605246,0.1448888871407491,37.78780991731401,-0.0006424050593432412,0,0,4148.169922
4148.169922,4155.02653,4125.859863,33.13143431003309,0.1687483734105312,36.01097878847486,-0.00048438419095247294,1,0,4191.049805
4191.049805,4180.169922,4148.169922,28.181830992568525,0.1742471471997094,21.11409223715873,-0.0008258051583367562,2,0,4201.290039
4201.290039,4211.003255333333,4191.049805,26.197307713333558,0.2023179022846657,29.669421763200262,-0.00018136983602604342,3,0,4240.669922
4240.669922,4228.659993666667,4201.290039,23.762188514402258,0.1540063103476984,15.365279443967665,-0.0006959495166170301,4,0,4244.02002
4244.02002,4252.489909,4240.669922,17.65120648069052,0.1546225296326087,20.2780456227174,-0.000593483050195725,1,0,4272.779785
4272.779785,4251.583333333333,4237.950195,18.60585569990502,0.1638671300111247,-13.616609003619487,-0.0005216003973099687,2,0,4237.950195
4237.950195,4259.426595,4237.950195,18.782039037871463,0.1685949741417344,8.11916257743269,-0.0004866748583302353,3,0,4267.549805
4267.549805,4256.303385333334,4237.950195,16.028532996487844,0.1876676165621388,7.119092110521706,-0.0008799571691173908,4,0,4263.410156
4263.410156,4274.643392,4263.410156,16.005889678984833,0.1906897132679223,18.31101754485826,-0.0006541712635288007,0,0,4292.970215
4292.970215,4281.323405,4263.410156,15.744855201825356,0.1875233950273725,6.254590180668856,-0.0007531508295822906,1,0,4287.589844
4287.589844,4290.873372666666,4287.589844,2.8798031815969747,0.183736924187328,1.184954620894132,-0.0006416799323712449,2,0,4292.060059
4292.060059,4299.526693,4287.589844,16.951904610840593,0.1759869833509349,19.422800822318095,-0.0006235037604426913,3,0,4318.930176
4318.930176,4306.370117333333,4292.060059,13.52026889612145,0.2505324724618812,1.732690746611297,-0.0003000024748941454,4,0,4308.120117
4308.120117,4301.450032666667,4277.299805,21.601839416118313,0.1797026545284578,-24.148112963151107,-0.0005353540156692033,0,0,4277.299805
4277.299805,4312.463379000001,4277.299805,37.52419853897637,0.2321927376590616,39.52045939751497,-0.0009754040799361974,1,0,4351.970215
4351.970215,4329.080078333333,4277.299805,44.94327012864124,0.1978588346506659,28.888997587933773,-0.0010115363060334156,2,0,4357.970215
4357.970215,4354.023437666667,4351.970215,3.418941642765503,0.1874067066946981,-1.87106459890947,-0.000772736048453462,3,0,4352.129883
4352.129883,4348.773437666667,4336.220215,11.256772137546664,0.1925593488004374,-12.544336755831864,-0.0004608989898739726,4,0,4336.220215
4336.220215,4340.933431,4334.450195,9.736716373667804,0.1841748332110728,-6.477494759862566,-0.0007365548226101522,0,0,4334.450195
4334.450195,4325.953450333333,4307.189941,16.273758157741526,0.232183559925031,-18.766623616007564,-0.0004287657356688024,1,0,4307.189941
4307.189941,4321.656738,4307.189941,13.706947585178463,0.1868324427653561,1.6952789991782993,-0.0004304085518840773,2,0,4323.330078
4323.330078,4296.9799803333335,4260.419922,32.674216204788536,0.2198355743393178,-36.57294780787197,0.0002662817414310641,3,0,4260.419922
4260.419922,4276.383300666666,4245.399902,41.34489299404827,0.1953559354700409,-30.96685130093556,-0.0008023141998965841,4,0,4245.399902
4245.399902,4261.923339666667,4245.399902,17.324141684562964,0.1446843547823533,18.023834470805014,-0.0006207049768947892,0,0,4279.950195
