Date,Close
2014-01-02,4143.069824
2014-01-03,4131.910156
2014-01-06,4113.680176
2014-01-07,4153.180176
2014-01-08,4165.609863
2014-01-09,4156.189941
2014-01-10,4174.669922
2014-01-13,4113.299805
2014-01-14,4183.02002
2014-01-15,4214.879883
2014-01-16,4218.689941
2014-01-17,4197.580078
2014-01-21,4225.759766
2014-01-22,4243.0
2014-01-23,4218.879883
2014-01-24,4128.169922
2014-01-27,4083.610107
2014-01-28,4097.959961
2014-01-29,4051.429932
2014-01-30,4123.129883
2014-01-31,4103.879883
2014-02-03,3996.959961
2014-02-04,4031.52002
2014-02-05,4011.550049
2014-02-06,4057.120117
2014-02-07,4125.859863
2014-02-10,4148.169922
2014-02-11,4191.049805
2014-02-12,4201.290039
2014-02-13,4240.669922
2014-02-14,4244.02002
2014-02-18,4272.779785
2014-02-19,4237.950195
2014-02-20,4267.549805
2014-02-21,4263.410156
2014-02-24,4292.970215
2014-02-25,4287.589844
2014-02-26,4292.060059
2014-02-27,4318.930176
2014-02-28,4308.120117
2014-03-03,4277.299805
2014-03-04,4351.970215
2014-03-05,4357.970215
2014-03-06,4352.129883
2014-03-07,4336.220215
2014-03-10,4334.450195
2014-03-11,4307.189941
2014-03-12,4323.330078
2014-03-13,4260.419922
2014-03-14,4245.399902
2014-03-17,4279.950195
2014-03-18,4333.310059
2014-03-19,4307.600098
2014-03-20,4319.290039
2014-03-21,4276.790039
2014-03-24,4226.390137
2014-03-25,4234.27002
2014-03-26,4173.580078
2014-03-27,4151.22998
2014-03-28,4155.759766
2014-03-31,4198.990234
2014-04-01,4268.040039
2014-04-02,4276.459961
2014-04-03,4237.740234
2014-04-04,4127.72998
2014-04-07,4079.75
2014-04-08,4112.990234
2014-04-09,4183.899902
2014-04-10,4054.110107
2014-04-11,3999.72998
2014-04-14,4022.689941
2014-04-15,4034.159912
2014-04-16,4086.22998
2014-04-17,4095.52002
2014-04-21,4121.549805
2014-04-22,4161.459961
2014-04-23,4126.970215
2014-04-24,4148.339844
2014-04-25,4075.560059
2014-04-28,4074.399902
2014-04-29,4103.540039
2014-04-30,4114.560059
2014-05-01,4127.450195
2014-05-02,4123.899902
2014-05-05,4138.060059
2014-05-06,4080.76001
2014-05-07,4067.669922
2014-05-08,4051.5
2014-05-09,4071.870117
2014-05-12,4143.859863
2014-05-13,4130.169922
2014-05-14,4100.629883
2014-05-15,4069.290039
2014-05-16,4090.590088
2014-05-19,4125.810059
2014-05-20,4096.890137
2014-05-21,4131.540039
2014-05-22,4154.339844
2014-05-23,4185.810059
2014-05-27,4237.069824
2014-05-28,4225.080078
2014-05-29,4247.950195
2014-05-30,4242.620117
2014-06-02,4237.200195
2014-06-03,4234.080078
2014-06-04,4251.640137
2014-06-05,4296.22998
2014-06-06,4321.399902
2014-06-09,4336.240234
2014-06-10,4338.0
2014-06-11,4331.930176
2014-06-12,4297.629883
2014-06-13,4310.649902
2014-06-16,4321.100098
2014-06-17,4337.22998
2014-06-18,4362.839844
2014-06-19,4359.330078
2014-06-20,4368.040039
2014-06-23,4368.680176
2014-06-24,4350.350098
2014-06-25,4379.759766
2014-06-26,4379.049805
2014-06-27,4397.930176
2014-06-30,4408.180176
2014-07-01,4458.649902
2014-07-02,4457.72998
2014-07-03,4485.930176
2014-07-07,4451.529785
2014-07-08,4391.459961
2014-07-09,4419.029785
2014-07-10,4396.200195
2014-07-11,4415.490234
2014-07-14,4440.419922
2014-07-15,4416.390137
2014-07-16,4425.970215
2014-07-17,4363.450195
2014-07-18,4432.149902
2014-07-21,4424.700195
2014-07-22,4456.02002
2014-07-23,4473.700195
2014-07-24,4472.109863
2014-07-25,4449.560059
2014-07-28,4444.910156
2014-07-29,4442.700195
2014-07-30,4462.899902
2014-07-31,4369.77002
2014-08-01,4352.640137
2014-08-04,4383.890137
2014-08-05,4352.839844
2014-08-06,4355.049805
2014-08-07,4334.970215
2014-08-08,4370.899902
2014-08-11,4401.330078
2014-08-12,4389.25
2014-08-13,4434.129883
2014-08-14,4453.0
2014-08-15,4464.930176
2014-08-18,4508.310059
2014-08-19,4527.509766
2014-08-20,4526.47998
2014-08-21,4532.100098
2014-08-22,4538.549805
2014-08-25,4557.350098
2014-08-26,4570.640137
2014-08-27,4569.620117
2014-08-28,4557.700195
2014-08-29,4580.27002
2014-09-02,4598.189941
2014-09-03,4572.560059
2014-09-04,4562.290039
2014-09-05,4582.899902
2014-09-08,4592.290039
2014-09-09,4552.290039
2014-09-10,4586.52002
2014-09-11,4591.810059
2014-09-12,4567.600098
2014-09-15,4518.899902
2014-09-16,4552.759766
2014-09-17,4562.189941
2014-09-18,4593.430176
2014-09-19,4579.790039
2014-09-22,4527.689941
2014-09-23,4508.689941
2014-09-24,4555.220215
2014-09-25,4466.75
2014-09-26,4512.189941
2014-09-29,4505.850098
2014-09-30,4493.390137
2014-10-01,4422.089844
2014-10-02,4430.200195
2014-10-03,4475.620117
2014-10-06,4454.799805
2014-10-07,4385.200195
2014-10-08,4468.589844
2014-10-09,4378.339844
2014-10-10,4276.240234
2014-10-13,4213.660156
2014-10-14,4227.169922
2014-10-15,4215.319824
2014-10-16,4217.390137
2014-10-17,4258.439941
2014-10-20,4316.069824
2014-10-21,4419.47998
2014-10-22,4382.850098
2014-10-23,4452.790039
2014-10-24,4483.720215
2014-10-27,4485.930176
2014-10-28,4564.290039
2014-10-29,4549.22998
2014-10-30,4566.140137
2014-10-31,4630.740234
2014-11-03,4638.910156
2014-11-04,4623.640137
